City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,26.44,89,100,5.66,US,1691428136
1,echuca,-36.1333,144.75,6.09,90,0,2.71,AU,1691428137
2,waitangi,-43.9535,-176.5597,7.68,62,100,5.32,NZ,1691428137
3,margaret river,-33.95,115.0667,16.32,91,73,8.33,AU,1691428137
4,podporozh'ye,60.9112,34.1706,26.13,58,0,4.34,RU,1691428138
5,edinburgh of the seven seas,-37.0676,-12.3116,13.0,76,51,12.51,SH,1691428138
6,georgetown,5.4112,100.3354,28.96,79,20,0.51,MY,1691428138
7,tual,-5.6667,132.75,25.87,77,37,9.5,ID,1691428138
8,kodiak,57.79,-152.4072,12.73,94,100,4.63,US,1691428139
9,port-aux-francais,-49.35,70.2167,4.92,91,100,13.15,TF,1691428139
10,chonchi,-42.6128,-73.8092,12.56,63,95,1.37,CL,1691428139
11,invercargill,-46.4,168.35,3.9,89,100,0.45,NZ,1691428139
12,khandyga,62.6667,135.6,13.43,32,0,5.46,RU,1691428140
13,tiksi,71.6872,128.8694,5.62,69,27,0.98,RU,1691428140
14,iqaluit,63.7506,-68.5145,9.85,76,20,3.09,CA,1691427901
15,neryungri,56.6709,124.6491,16.28,67,96,1.31,RU,1691428140
16,yermakovskoye,53.2831,92.4003,18.21,77,100,1.19,RU,1691428141
17,sisimiut,66.9395,-53.6735,9.75,65,18,2.23,GL,1691428141
18,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,0,2.0,RU,1691428141
19,antofagasta,-23.65,-70.4,19.92,68,11,3.81,CL,1691428142
20,bethel,41.3712,-73.414,24.31,90,100,1.54,US,1691428142
21,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691428143
22,puerto ayora,-0.7393,-90.3518,28.98,83,61,3.13,EC,1691428143
23,adamstown,-25.066,-130.1015,20.2,71,7,2.67,PN,1691428143
24,hithadhoo,-0.6,73.0833,27.98,74,61,2.59,MV,1691428144
25,fereydun kenar,36.6864,52.5225,28.29,70,67,1.73,IR,1691428144
26,port mathurin,-19.6833,63.4167,22.39,68,98,11.37,MU,1691428144
27,enewetak,11.3474,162.3373,26.67,85,98,7.3,MH,1691428145
28,puerto natales,-51.7236,-72.4875,2.08,67,100,0.86,CL,1691428145
29,yarmouth,41.7057,-70.2286,24.98,80,100,4.63,US,1691427999
30,udachny,66.4167,112.4,16.36,58,89,1.74,RU,1691428146
31,albany,42.6001,-73.9662,22.43,89,100,1.34,US,1691428073
32,ushuaia,-54.8,-68.3,1.81,69,0,1.54,AR,1691427952
33,albestii pamanteni,45.2167,24.6667,19.26,53,35,2.94,RO,1691428147
34,zhytkavichy,52.2168,27.8561,14.9,90,87,5.13,BY,1691428147
35,rovira,4.2392,-75.24,32.41,36,76,3.25,CO,1691428147
36,touros,-5.1989,-35.4608,27.96,68,44,8.22,BR,1691428063
37,mariental,-24.6333,17.9667,20.15,14,0,3.15,NA,1691428148
38,serowe,-22.3833,26.7167,16.61,26,5,1.79,BW,1691428148
39,aykhal,66.0,111.5,15.5,46,100,1.9,RU,1691428133
40,grytviken,-54.2811,-36.5092,-4.5,84,98,4.9,GS,1691428149
41,bredasdorp,-34.5322,20.0403,11.67,85,0,1.53,ZA,1691428149
42,lompoc,34.6391,-120.4579,27.61,56,0,1.57,US,1691428150
43,anadyr,64.75,177.4833,10.28,93,75,5.0,RU,1691428151
44,ulladulla,-35.35,150.4667,9.07,85,19,2.31,AU,1691428152
